"Gmin re (L=4e-08,M=10) X","Gmin re (L=4e-08,M=10) Y","Gmin re (L=4e-08,M=20) X","Gmin re (L=4e-08,M=20) Y","Gmin re (L=8e-08,M=10) X","Gmin re (L=8e-08,M=10) Y","Gmin re (L=8e-08,M=20) X","Gmin re (L=8e-08,M=20) Y"
0,0.9889792106112637,0,0.9770131944111233,0,0.982839860599292,0,0.9652868555449785
0.01,0.9893977808846619,0.01,0.9775846352623382,0.01,0.9828967871656954,0.01,0.9654127202830342
0.02,0.9898569773630919,0.02,0.9782341258034312,0.02,0.9829547565887937,0.02,0.9655385819738397
0.03,0.9903499035008128,0.03,0.9789595949917701,0.03,0.9830144731907138,0.03,0.965665292324535
0.04,0.990867060199831,0.04,0.9797538888330857,0.04,0.9830768542650398,0.04,0.9657939527885814
0.05,0.9913970607502168,0.05,0.9806045477058773,0.05,0.9831430952214192,0.05,0.9659259972930436
0.06,0.9919274150028985,0.06,0.981494141103621,0.06,0.9832148610364588,0.06,0.966063567563564
0.07000000000000001,0.992445644929425,0.07000000000000001,0.9824014023418463,0.07000000000000001,0.9832943320508627,0.07000000000000001,0.9662095002107101
0.08,0.9929404382539943,0.08,0.9833037387590117,0.08,0.9833837645572958,0.08,0.9663662365561639
0.09,0.9934014260040314,0.09,0.9841777483331721,0.09,0.9834864236236935,0.09,0.9665378652644016
0.09999999999999999,0.9938194837656023,0.09999999999999999,0.9850007462913484,0.09999999999999999,0.9836063930971791,0.09999999999999999,0.9667296197010586
0.11,0.9941865523956223,0.11,0.9857514432999597,0.11,0.9837486770483508,0.11,0.9669481074580164
0.12,0.9944953637733631,0.12,0.986410133363914,0.12,0.9839192375708052,0.12,0.9672015137618872
0.13,0.994739265529624,0.13,0.9869586421172225,0.13,0.9841249068309661,0.13,0.9674997110348587
0.14,0.9949123221214616,0.14,0.9873804141289249,0.14,0.9843730902970643,0.14,0.967854164239778
0.15,0.9950097662791971,0.15,0.9876610896541468,0.15,0.9846711697224675,0.15,0.9682774738260165
0.16,0.9950286732152857,0.16,0.9877896633043267,0.16,0.9850255402476193,0.16,0.968782367901968
0.17,0.9949685231630178,0.17,0.9877598644831719,0.17,0.9854402998133084,0.17,0.9693799858718124
0.18,0.9948312982552637,0.18,0.9875710370578982,0.18,0.9859157571918001,0.18,0.9700774410264587
0.19,0.994621013473762,0.19,0.9872279181688577,0.19,0.9864470966913963,0.19,0.9708749335316063
0.2,0.9943429130185807,0.2,0.9867393372566819,0.2,0.9870236349948301,0.2,0.9717630381045828
0.21,0.9940026903362152,0.21,0.9861164476247058,0.21,0.9876290197593952,0.21,0.9727210192353037
0.2200000000000001,0.9936059673074721,0.2200000000000001,0.9853711868654234,0.2200000000000001,0.9882424278467515,0.2200000000000001,0.9737169028722686
0.2300000000000001,0.9931580711427327,0.2300000000000001,0.9845153252068126,0.2300000000000001,0.9888404486181855,0.2300000000000001,0.9747094932841842
0.2400000000000001,0.992664026125617,0.2400000000000001,0.9835600895453496,0.2400000000000001,0.9893990941430953,0.2400000000000001,0.975651804530741
0.2500000000000001,0.9921286518145266,0.2500000000000001,0.9825161680208281,0.2500000000000001,0.9898954049121651,0.2500000000000001,0.9764949008904932
0.2600000000000001,0.9915566840650636,0.2600000000000001,0.9813938866878653,0.2600000000000001,0.9903083945404206,0.2600000000000001,0.9771912106155163
0.2700000000000001,0.9909528698703943,0.2700000000000001,0.9802034090766202,0.2700000000000001,0.9906194486036091,0.2700000000000001,0.9776969434558217
0.2800000000000001,0.9903220146219543,0.2800000000000001,0.9789548755740317,0.2800000000000001,0.9908125711081851,0.2800000000000001,0.9779739266077976
0.2900000000000001,0.989668978600555,0.2900000000000001,0.9776584498816681,0.2900000000000001,0.9908748944287228,0.2900000000000001,0.9779914815541063
0.3000000000000001,0.9889986304479677,0.3000000000000001,0.9763242728492832,0.3000000000000001,0.9907975736694993,0.3000000000000001,0.9777286001319923
0.3100000000000001,0.9883157712030922,0.3100000000000001,0.9749623435554624,0.3100000000000001,0.9905767305780442,0.3100000000000001,0.9771758744733491
0.3200000000000001,0.987625044559625,0.3200000000000001,0.9735823570235851,0.3200000000000001,0.9902138662006108,0.3200000000000001,0.9763361483105244
0.3300000000000001,0.9869308481909407,0.3300000000000001,0.9721935298215704,0.3300000000000001,0.989715392887389,0.3300000000000001,0.9752232831544606
0.3400000000000001,0.9862372580984209,0.3400000000000001,0.9708044410024408,0.3400000000000001,0.9890914540658643,0.3400000000000001,0.9738594419681711
0.3500000000000001,0.9855479738519316,0.3500000000000001,0.9694229084295216,0.3500000000000001,0.9883545330563761,0.3500000000000001,0.9722719500320659
0.3600000000000002,0.9848662882038643,0.3600000000000002,0.9680559115655683,0.3600000000000002,0.9875182877472614,0.3600000000000002,0.9704906528192829
0.3700000000000002,0.9841950806396231,0.3700000000000002,0.9667095631455032,0.3700000000000002,0.9865967735015265,0.3700000000000002,0.968546119934764
0.3800000000000002,0.9835368314899241,0.3800000000000002,0.9653891251632667,0.3800000000000002,0.9856039943596919,0.3800000000000002,0.9664685773349116
0.3900000000000002,0.9828936514848596,0.3900000000000002,0.9640990599987319,0.3900000000000002,0.9845536457437222,0.3900000000000002,0.9642872839750903
0.4000000000000002,0.9822673210197476,0.4000000000000002,0.9628431053791813,0.4000000000000002,0.983458936050327,0.4000000000000002,0.9620301147521125
0.4100000000000002,0.9816593336958389,0.4100000000000002,0.9616243618370582,0.4100000000000002,0.9823324298931064,0.4100000000000002,0.9597232241282797
0.4200000000000002,0.9810709395863124,0.4200000000000002,0.9604453827729617,0.4200000000000002,0.9811859009388256,0.4200000000000002,0.957390757320137
0.4300000000000002,0.9805031848614658,0.4300000000000002,0.9593082595035585,0.4300000000000002,0.9800302052249561,0.4300000000000002,0.9550546230436495
0.4400000000000002,0.9799569456442148,0.4400000000000002,0.9582146962042887,0.4400000000000002,0.9788751899896634,0.4400000000000002,0.9527343508182214
0.4500000000000002,0.9794329550944975,0.4500000000000002,0.9571660720434569,0.4500000000000002,0.977729646651712,0.4500000000000002,0.9504470439316319
0.4600000000000002,0.9789318236452439,0.4600000000000002,0.956163489805285,0.4600000000000002,0.9766013072418723,0.4600000000000002,0.9482074218238196
0.4700000000000003,0.9784540529961592,0.4700000000000003,0.9552078118094683,0.4700000000000003,0.9754968761726518,0.4700000000000003,0.9460279324201786
0.4800000000000003,0.9780000449159023,0.4800000000000003,0.9542996849406493,0.4800000000000003,0.9744220856891515,0.4800000000000003,0.9439189093761664
0.4900000000000003,0.9775701061307935,0.4900000000000003,0.9534395571501025,0.4900000000000003,0.9733817634790251,0.4900000000000003,0.941888750592058
0.5000000000000002,0.9771644506263591,0.5000000000000002,0.9526276879588338,0.5000000000000002,0.9723799034523398,0.5000000000000002,0.9399441000309673
0.5100000000000002,0.976783200595216,0.5100000000000002,0.9518641553656575,0.5100000000000002,0.971419734148783,0.5100000000000002,0.9380900219140363
0.5200000000000002,0.9764263870759181,0.5200000000000002,0.9511488612328816,0.5200000000000002,0.9705037249733293,0.5200000000000002,0.9363300493680021
0.5300000000000002,0.9760939510812996,0.5300000000000002,0.9504815367713713,0.5300000000000002,0.9696338104165388,0.5300000000000002,0.934666664514852
0.5400000000000003,0.9757857457491206,0.5400000000000003,0.9498617492482195,0.5400000000000003,0.9688112901714274,0.5400000000000003,0.9331011165535004
0.5500000000000003,0.9755015263467905,0.5500000000000003,0.9492888779313372,0.5500000000000003,0.9680369278267643,0.5500000000000003,0.9316336555325466
0.5600000000000003,0.97524092878029,0.5600000000000003,0.9487621017411909,0.5600000000000003,0.9673110066691107,0.5600000000000003,0.9302636586419689
0.5700000000000003,0.9750036323557589,0.5700000000000003,0.9482806710224545,0.5700000000000003,0.9666333830696644,0.5700000000000003,0.9289897513992823
0.5800000000000003,0.9747890833985521,0.5800000000000003,0.9478433725244165,0.5800000000000003,0.9660035401538576,0.5800000000000003,0.9278099245759356
0.5900000000000003,0.9745969919202342,0.5900000000000003,0.9474496119872453,0.5900000000000003,0.9654206412658438,0.5900000000000003,0.9267216461337302
0.6000000000000003,0.974426679448179,0.6000000000000003,0.947097953379882,0.6000000000000003,0.9648835823779881,0.6000000000000003,0.9257219669422747
0.6100000000000003,0.9742775432201013,0.6100000000000003,0.9467871528715955,0.6100000000000003,0.9643910424411991,0.6100000000000003,0.9248076189002068
0.6200000000000003,0.97414894587992,0.6200000000000003,0.946515910250423,0.6200000000000003,0.9639415306954062,0.6200000000000003,0.9239751042166668
0.6300000000000003,0.9740402230749118,0.6300000000000003,0.9462828833366241,0.6300000000000003,0.9635334301114002,0.6300000000000003,0.9232207749291504
0.6400000000000003,0.9739506903501612,0.6400000000000003,0.9460867009267603,0.6400000000000003,0.9631650363595494,0.6400000000000003,0.9225409021418953
0.6500000000000004,0.9738796493330436,0.6500000000000004,0.9459259743223791,0.6500000000000004,0.9628345919511194,0.6500000000000004,0.9219317348895505
0.6600000000000004,0.9738263931561465,0.6600000000000004,0.9457993073557855,0.6600000000000004,0.962540315438521,0.6600000000000004,0.9213895489078481
0.6700000000000004,0.9737902111116269,0.6700000000000004,0.9457053049073827,0.6700000000000004,0.9622803424543447,0.6700000000000004,0.9209105189382626
0.6800000000000004,0.9737703925650016,0.6800000000000004,0.9456425799738108,0.6800000000000004,0.96205309139648,0.6800000000000004,0.9204914424163326
0.6900000000000004,0.9737662301816274,0.6900000000000004,0.9456097593930154,0.6900000000000004,0.9618567396776888,0.6900000000000004,0.9201286817577351
0.7000000000000004,0.9737770225356026,0.7000000000000004,0.9456054883635137,0.7000000000000004,0.9616896097395459,0.7000000000000004,0.9198189302359797
0.7100000000000004,0.9738020761799243,0.7100000000000004,0.9456284339118891,0.7100000000000004,0.9615500799750836,0.7100000000000004,0.9195590267503906
0.7200000000000004,0.9738407072595487,0.7200000000000004,0.9456772874679767,0.7200000000000004,0.9614365904826639,0.7200000000000004,0.9193459614905624
0.7300000000000004,0.9738922427471869,0.7300000000000004,0.9457507667039475,0.7300000000000004,0.9613476464458678,0.7300000000000004,0.9191768776302486
0.7400000000000004,0.9739560213761821,0.7400000000000004,0.9458476167835767,0.7400000000000004,0.9612818196302383,0.7400000000000004,0.9190490699794676
0.7500000000000004,0.9740313943380091,0.7500000000000004,0.9459666111543399,0.7500000000000004,0.9612377483927443,0.7500000000000004,0.9189599813120479
0.7600000000000005,0.9741177258024517,0.7600000000000005,0.9461065519985179,0.7600000000000005,0.9612141365530822,0.7600000000000005,0.918907196986661
0.7700000000000005,0.9742143933100187,0.7700000000000005,0.9462662704420851,0.7700000000000005,0.9612097514274046,0.7700000000000005,0.9188884383833488
0.7800000000000005,0.9743207880767081,0.7800000000000005,0.9464446266030636,0.7800000000000005,0.9612234212783871,0.7800000000000005,0.9189015555878843
0.7900000000000005,0.9744363152427578,0.7900000000000005,0.946640509544512,0.7900000000000005,0.9612540323915324,0.7900000000000005,0.9189445196751898
0.8000000000000005,0.9745603940892651,0.8000000000000005,0.9468528371823374,0.8000000000000005,0.961300525947555,0.8000000000000005,0.9190154148708378
0.8100000000000005,0.974692458239354,0.8100000000000005,0.9470805561842883,0.8100000000000005,0.9613618948252028,0.8100000000000005,0.9191124308071044
0.8200000000000005,0.9748319558550989,0.8200000000000005,0.9473226418853272,0.8200000000000005,0.9614371804379206,0.8200000000000005,0.9192338550362573
0.8300000000000005,0.9749783498359031,0.8300000000000005,0.947578098234344,0.8300000000000005,0.9615254696811276,0.8300000000000005,0.9193780659186637
0.8400000000000005,0.9751311180208018,0.8400000000000005,0.9478459577791367,0.8400000000000005,0.9616258920445236,0.8400000000000005,0.9195435259656091
0.8500000000000005,0.9752897533931131,0.8500000000000005,0.9481252816899991,0.8500000000000005,0.9617376169253004,0.8500000000000005,0.9197287756856828
0.8600000000000005,0.9754537642844834,0.8600000000000005,0.9484151598174563,0.8600000000000005,0.9618598511630064,0.8600000000000005,0.9199324279589834
0.8700000000000006,0.9756226745731508,0.8700000000000006,0.9487147107756069,0.8700000000000006,0.9619918368046219,0.8700000000000006,0.9201531629431617
0.8800000000000006,0.9757960238704066,0.8800000000000006,0.9490230820401335,0.8800000000000006,0.9621328490988013,0.8800000000000006,0.9203897235001572
0.8900000000000006,0.9759733676887404,0.8900000000000006,0.9493394500482402,0.8900000000000006,0.9622821947113364,0.8900000000000006,0.9206409111204333
0.9000000000000006,0.9761542775848855,0.9000000000000006,0.949663020286926,0.9000000000000006,0.9624392101477889,0.9000000000000006,0.9209055823130221
0.9100000000000006,0.9763383412713312,0.9100000000000006,0.9499930273556757,0.9100000000000006,0.9626032603662209,0.9100000000000006,0.9211826454236388
0.9200000000000006,0.9765251626899457,0.9200000000000006,0.9503287349898925,0.9200000000000006,0.9627737375599245,0.9200000000000006,0.9214710578388213
0.9300000000000006,0.9767143620424844,0.9300000000000006,0.9506694360322732,0.9300000000000006,0.9629500600890734,0.9300000000000006,0.9217698235325056
0.9400000000000006,0.9769055757728915,0.9400000000000006,0.9510144523401071,0.9400000000000006,0.9631316715393922,0.9400000000000006,0.9220779909102872
0.9500000000000006,0.9770984564977694,0.9500000000000006,0.9513631346181377,0.9500000000000006,0.9633180398867126,0.9500000000000006,0.9223946509075477
0.9600000000000006,0.9772926728820793,0.9600000000000006,0.9517148621682773,0.9600000000000006,0.9635086567466744,0.9600000000000006,0.9227189352992295
0.9700000000000006,0.9774879094583121,0.9700000000000006,0.9520690425493794,0.9700000000000006,0.963703036690805,0.9700000000000006,0.9230500151816605
0.9800000000000006,0.9776838663885216,0.9800000000000006,0.9524251111427467,0.9800000000000006,0.9639007166114818,0.9800000000000006,0.9233870995902593
0.9900000000000007,0.9778802591700326,0.9900000000000007,0.9527825306214616,0.9900000000000007,0.9641012551208938,0.9900000000000007,0.9237294342208862
1,0.9780768182867167,1,0.9531407903243523,1,0.9643042319713183,1,0.9240763002275051
