"Zin_Im (L=4e-08,M=10) X","Zin_Im (L=4e-08,M=10) Y","Zin_Im (L=4e-08,M=20) X","Zin_Im (L=4e-08,M=20) Y","Zin_Im (L=8e-08,M=10) X","Zin_Im (L=8e-08,M=10) Y","Zin_Im (L=8e-08,M=20) X","Zin_Im (L=8e-08,M=20) Y"
0,-1980.425147940255,0,-1025.768368144844,0,-1742.338980454251,0,-899.7340305175281
0.01,-1981.915295887767,0.01,-1026.563195328051,0.01,-1744.910059705054,0.01,-901.0914918744329
0.02,-1983.331301773608,0.02,-1027.315732857542,0.02,-1747.468137624014,0.02,-902.4423294484834
0.03,-1984.654869061078,0.03,-1028.015405864141,0.03,-1750.010418835525,0.03,-903.7849512521266
0.04,-1985.862538087379,0.04,-1028.648653136733,0.04,-1752.532118538558,0.04,-905.116678256543
0.05,-1986.924495235742,0.05,-1029.198231272497,0.05,-1755.025957753466,0.05,-906.4334671995773
0.06,-1987.814183438068,0.06,-1029.647043261582,0.06,-1757.494490300826,0.06,-907.7367493897775
0.07000000000000001,-1988.491323891358,0.07000000000000001,-1029.974227028879,0.07000000000000001,-1759.945492455071,0.07000000000000001,-909.0298821531927
0.08,-1988.87979399519,0.08,-1030.134845365364,0.08,-1762.323684317616,0.08,-910.2833068230927
0.09,-1988.908420709003,0.09,-1030.087417428364,0.09,-1764.603451558126,0.09,-911.4829280982358
0.09999999999999999,-1988.491041977428,0.09999999999999999,-1029.781496703799,0.09999999999999999,-1766.751188324861,0.09999999999999999,-912.6102636559446
0.11,-1987.525060056827,0.11,-1029.156612673961,0.11,-1768.723155859338,0.11,-913.6412665106333
0.12,-1985.890918076814,0.12,-1028.141617702317,0.12,-1770.46279242656,0.12,-914.5448459949303
0.13,-1983.453216090902,0.13,-1026.654815321221,0.13,-1771.897382447381,0.13,-915.2810372961561
0.14,-1980.064321719551,0.14,-1024.605352137921,0.14,-1772.93402293016,0.14,-915.7987865627458
0.15,-1975.57126159432,0.15,-1021.896381810668,0.15,-1773.454905034633,0.15,-916.0333631141426
0.16,-1969.826214708823,0.16,-1018.430353722621,0.16,-1773.312095404036,0.16,-915.9035029472303
0.17,-1962.699942106792,0.17,-1014.11634115783,0.17,-1772.322308271024,0.17,-915.3085572418457
0.18,-1954.096115180552,0.18,-1008.87860131835,0.18,-1770.262664663024,0.18,-914.1261980574426
0.19,-1943.963308953287,0.19,-1002.664765398137,0.19,-1766.869172350888,0.19,-912.2116377394251
0.2,-1932.301258389805,0.2,-995.4516361245063,0.2,-1761.84055611421,0.2,-909.3998057748443
0.21,-1919.159388263146,0.21,-987.246968111628,0.21,-1754.850802992196,0.21,-905.5123174469551
0.2200000000000001,-1904.628205826248,0.2200000000000001,-978.0868538037768,0.2200000000000001,-1745.573648076732,0.2200000000000001,-900.3709672747059
0.2300000000000001,-1888.826533376513,0.2300000000000001,-968.0298446498065,0.2300000000000001,-1733.72015566871,0.2300000000000001,-893.8183092612747
0.2400000000000001,-1871.888427129107,0.2400000000000001,-957.1498488611878,0.2400000000000001,-1719.085764090675,0.2400000000000001,-885.7432345119089
0.2500000000000001,-1853.952725171744,0.2500000000000001,-945.529720405992,0.2500000000000001,-1701.59648851488,0.2500000000000001,-876.105819204502
0.2600000000000001,-1835.156361687548,0.2600000000000001,-933.256567441267,0.2600000000000001,-1681.338989117461,0.2600000000000001,-864.9530883910249
0.2700000000000001,-1815.631009996426,0.2700000000000001,-920.4188249930882,0.2700000000000001,-1658.56095087726,0.2700000000000001,-852.4184613250085
0.2800000000000001,-1795.501869474485,0.2800000000000001,-907.1045524928659,0.2800000000000001,-1633.638582582838,0.2800000000000001,-838.7034352425685
0.2900000000000001,-1774.887428858192,0.2900000000000001,-893.4003220801219,0.2900000000000001,-1607.021888129137,0.2900000000000001,-824.0475872439648
0.3000000000000001,-1753.899444623568,0.3000000000000001,-879.390271386457,0.3000000000000001,-1579.176495072553,0.3000000000000001,-808.697202663938
0.3100000000000001,-1732.642822299678,0.3100000000000001,-865.1551717712231,0.3100000000000001,-1550.538381539427,0.3100000000000001,-792.8812755981797
0.3200000000000001,-1711.215401437073,0.3200000000000001,-850.7715637998284,0.3200000000000001,-1521.488405068368,0.3200000000000001,-776.7983864664441
0.3300000000000001,-1689.707786564555,0.3300000000000001,-836.3110931626411,0.3300000000000001,-1492.34445928159,0.3300000000000001,-760.6130711379025
0.3400000000000001,-1668.203376477228,0.3400000000000001,-821.8401635943544,0.3400000000000001,-1463.364761539356,0.3400000000000001,-744.4580600007939
0.3500000000000001,-1646.778681551375,0.3500000000000001,-807.4199531199214,0.3500000000000001,-1434.755928450779,0.3500000000000001,-728.4389441263438
0.3600000000000002,-1625.503933650328,0.3600000000000002,-793.1067579835066,0.3600000000000002,-1406.681703198253,0.3600000000000002,-712.639071692691
0.3700000000000002,-1604.443918266831,0.3700000000000002,-778.9525633926006,0.3700000000000002,-1379.270452880662,0.3700000000000002,-697.1237117238226
0.3800000000000002,-1583.658910066275,0.3800000000000002,-765.0057054220325,0.3800000000000002,-1352.621033381092,0.3800000000000002,-681.9433163596455
0.3900000000000002,-1563.205575111662,0.3900000000000002,-751.3114858654969,0.3900000000000002,-1326.807312433469,0.3900000000000002,-667.1360729535171
0.4000000000000002,-1543.137712556005,0.4000000000000002,-737.912625733752,0.4000000000000002,-1301.881821166169,0.4000000000000002,-652.7300160132431
0.4100000000000002,-1523.506738573213,0.4100000000000002,-724.8494840333872,0.4100000000000002,-1277.878933622194,0.4100000000000002,-638.7449114649908
0.4200000000000002,-1504.361857591593,0.4200000000000002,-712.1600162706549,0.4200000000000002,-1254.817822157471,0.4200000000000002,-625.1940263840225
0.4300000000000002,-1485.749912444929,0.4300000000000002,-699.8794927525126,0.4300000000000002,-1232.705290207083,0.4300000000000002,-612.0858057004471
0.4400000000000002,-1467.714948712762,0.4400000000000002,-688.0400333242427,0.4400000000000002,-1211.538476238546,0.4400000000000002,-599.4254139715733
0.4500000000000002,-1450.297563580376,0.4500000000000002,-676.6700384279736,0.4500000000000002,-1191.30736016273,0.4500000000000002,-587.2160695744526
0.4600000000000002,-1433.534132129732,0.4600000000000002,-665.7936048118188,0.4600000000000002,-1171.996980592197,0.4600000000000002,-575.4600970737154
0.4700000000000003,-1417.456012373024,0.4700000000000003,-655.4300088716304,0.4700000000000003,-1153.589278737961,0.4700000000000003,-564.1596439780549
0.4800000000000003,-1402.088825044693,0.4800000000000003,-645.5933244710992,0.4800000000000003,-1136.064512526604,0.4800000000000003,-553.3170422364743
0.4900000000000003,-1387.451887616891,0.4900000000000003,-636.2922193299187,0.4900000000000003,-1119.402223412027,0.4900000000000003,-542.9348340876969
0.5000000000000002,-1373.557857973726,0.5000000000000002,-627.5299491409514,0.5000000000000002,-1103.581779923042,0.5000000000000002,-533.0155182937848
0.5100000000000002,-1360.412616005021,0.5100000000000002,-619.3045454089956,0.5100000000000002,-1088.582558917655,0.5100000000000002,-523.5610998364261
0.5200000000000002,-1348.015385123541,0.5200000000000002,-611.6091744065347,0.5200000000000002,-1074.383852154831,0.5200000000000002,-514.5725396477526
0.5300000000000002,-1336.359073552569,0.5300000000000002,-604.4326321197873,0.5300000000000002,-1060.964598815322,0.5300000000000002,-506.0491996732533
0.5400000000000003,-1325.430799106978,0.5400000000000003,-597.7599338368351,0.5400000000000003,-1048.303043407951,0.5400000000000003,-497.988364297766
0.5500000000000003,-1315.21255175868,0.5500000000000003,-591.5729563556954,0.5500000000000003,-1036.376405090686,0.5500000000000003,-490.3848959822759
0.5600000000000003,-1305.681945128402,0.5600000000000003,-585.8510943716486,0.5600000000000003,-1025.160622716944,0.5600000000000003,-483.2310559963458
0.5700000000000003,-1296.813010035072,0.5700000000000003,-580.5718988818277,0.5700000000000003,-1014.630214593294,0.5700000000000003,-476.5164953210168
0.5800000000000003,-1288.573562017033,0.5800000000000003,-575.7093771268504,0.5800000000000003,-1004.758267428733,0.5800000000000003,-470.2283998315672
0.5900000000000003,-1280.940081029895,0.5900000000000003,-571.243995000754,0.5900000000000003,-995.5165485798647,0.5900000000000003,-464.3517597139082
0.6000000000000003,-1273.876584922932,0.6000000000000003,-567.148494080466,0.6000000000000003,-986.8757212795063,0.6000000000000003,-458.8697260434531
0.6100000000000003,-1267.350277642146,0.6100000000000003,-563.398374729231,0.6100000000000003,-978.8056344661169,0.6100000000000003,-453.7640165980105
0.6200000000000003,-1261.328215685541,0.6200000000000003,-559.9696078684429,0.6200000000000003,-971.2756564002171,0.6200000000000003,-449.0153366517955
0.6300000000000003,-1255.777771858218,0.6300000000000003,-556.8388910838146,0.6300000000000003,-964.2550231173813,0.6300000000000003,-444.6037868763318
0.6400000000000003,-1250.667011385296,0.6400000000000003,-553.9838404692381,0.6400000000000003,-957.7131773794341,0.6400000000000003,-440.5092379429491
0.6500000000000004,-1245.964988732792,0.6500000000000004,-551.3831279819515,0.6500000000000004,-951.6200797229667,0.6500000000000004,-436.7116587551923
0.6600000000000004,-1241.641972437287,0.6600000000000004,-549.0165721285493,0.6600000000000004,-945.9464793434814,0.6600000000000004,-433.1913916489061
0.6700000000000004,-1237.669606431706,0.6700000000000004,-546.8651896906706,0.6700000000000004,-940.6626227371836,0.6700000000000004,-429.9283480148814
0.6800000000000004,-1234.021016775413,0.6800000000000004,-544.9112157221413,0.6800000000000004,-935.7446589203856,0.6800000000000004,-426.906393673635
0.6900000000000004,-1230.670872559768,0.6900000000000004,-543.1380983593492,0.6900000000000004,-931.1651512638091,0.6900000000000004,-424.1069550084093
0.7000000000000004,-1227.595409242368,0.7000000000000004,-541.5304741931541,0.7000000000000004,-926.8997664051988,0.7000000000000004,-421.5135764130242
0.7100000000000004,-1224.772421918268,0.7100000000000004,-540.0741291331009,0.7100000000000004,-922.9256148862672,0.7100000000000004,-419.1108064806851
0.7200000000000004,-1222.181235169872,0.7200000000000004,-538.7559488992418,0.7200000000000004,-919.2212648296072,0.7200000000000004,-416.8842133569069
0.7300000000000004,-1219.802655235163,0.7300000000000004,-537.5638625427317,0.7300000000000004,-915.7667280401148,0.7300000000000004,-414.8203767499801
0.7400000000000004,-1217.618909356214,0.7400000000000004,-536.4867817460669,0.7400000000000004,-912.5434251761109,0.7400000000000004,-412.906862725671
0.7500000000000004,-1215.613576343667,0.7500000000000004,-535.5145380739892,0.7500000000000004,-909.5341351479231,0.7500000000000004,-411.1321859687415
0.7600000000000005,-1213.771511652306,0.7600000000000005,-534.6378198624083,0.7600000000000005,-906.7229332492514,0.7600000000000005,-409.4857634218032
0.7700000000000005,-1212.078769604383,0.7700000000000005,-533.8481100241784,0.7700000000000005,-904.0951218338787,0.7700000000000005,-407.9578624919509
0.7800000000000005,-1210.522524831698,0.7800000000000005,-533.1376257104257,0.7800000000000005,-901.6371566709774,0.7800000000000005,-406.5395463555461
0.7900000000000005,-1209.09099452674,0.7900000000000005,-532.4992604905461,0.7900000000000005,-899.3365714870973,0.7900000000000005,-405.2226183168875
0.8000000000000005,-1207.773362691437,0.8000000000000005,-531.9265294992416,0.8000000000000005,-897.1819026444147,0.8000000000000005,-403.999566692826
0.8100000000000005,-1206.559707240574,0.8100000000000005,-531.4135178215497,0.8100000000000005,-895.1626154258613,0.8100000000000005,-402.8635112904735
0.8200000000000005,-1205.440930548549,0.8200000000000005,-530.9548322480825,0.8200000000000005,-893.2690329943216,0.8200000000000005,-401.80815222081
0.8300000000000005,-1204.408693808961,0.8300000000000005,-530.5455564371526,0.8300000000000005,-891.4922687626986,0.8300000000000005,-400.8277215345334
0.8400000000000005,-1203.455355405585,0.8400000000000005,-530.1812094322291,0.8400000000000005,-889.8241626448473,0.8400000000000005,-399.9169379608573
0.8500000000000005,-1202.573913353197,0.8500000000000005,-529.8577074282683,0.8500000000000005,-888.2572214477202,0.8500000000000005,-399.0709648802757
0.8600000000000005,-1201.757951761588,0.8600000000000005,-529.5713286377043,0.8600000000000005,-886.7845635015329,0.8600000000000005,-398.2853715455075
0.8700000000000006,-1201.001591188508,0.8700000000000006,-529.3186810724515,0.8700000000000006,-885.3998675012064,0.8700000000000006,-397.5560974807034
0.8800000000000006,-1200.299442681736,0.8800000000000006,-529.09667303611,0.8800000000000006,-884.0973254387748,0.8800000000000006,-396.8794199285844
0.8900000000000006,-1199.646565258022,0.8900000000000006,-528.9024861058725,0.8900000000000006,-882.8715994396919,0.8900000000000006,-396.2519241763896
0.9000000000000006,-1199.038426523957,0.9000000000000006,-528.7335503698586,0.9000000000000006,-881.7177822674234,0.9000000000000006,-395.6704765609696
0.9100000000000006,-1198.470866113075,0.9100000000000006,-528.5875216804537,0.9100000000000006,-880.6313612277178,0.9100000000000006,-395.1321999405501
0.9200000000000006,-1197.940061586758,0.9200000000000006,-528.4622606775372,0.9200000000000006,-879.6081851833252,0.9200000000000006,-394.6344514090246
0.9300000000000006,-1197.442496431098,0.9300000000000006,-528.3558133376085,0.9300000000000006,-878.6444343786644,0.9300000000000006,-394.1748020308011
0.9400000000000006,-1196.974929771651,0.9400000000000006,-528.2663927992322,0.9400000000000006,-877.7365927693668,0.9400000000000006,-393.7510183721142
0.9500000000000006,-1196.534367428372,0.9500000000000006,-528.1923622340817,0.9500000000000006,-876.8814225565601,0.9500000000000006,-393.361045616466
0.9600000000000006,-1196.118033944546,0.9600000000000006,-528.1322185288989,0.9600000000000006,-876.0759406347997,0.9600000000000006,-393.0029920574955
0.9700000000000006,-1195.723345245918,0.9700000000000006,-528.0845765718948,0.9700000000000006,-875.3173966802705,0.9700000000000006,-392.6751147800987
0.9800000000000006,-1195.347881624508,0.9800000000000006,-528.0481539547386,0.9800000000000006,-874.603252629577,0.9800000000000006,-392.3758063575069
0.9900000000000007,-1194.989360793279,0.9900000000000007,-528.0217559349237,0.9900000000000007,-873.9311633309979,0.9900000000000007,-392.1035824104634
1,-1194.645610823208,1,-528.0042605346473,1,-873.2989581874945,1,-391.8570699057319
